id,title,content,label
1,"one of the best","spacious room, great ambience. love the toilet and bed. just perfect, will be back again! ",Room
2,"Relax staycation","Singaporean, couple, relax, staycation

Bought it with the attractive package, find it a bit expensive. But after I reach the hotel, I find it worth the price. The people are all very friendly and polite, place is clean, enviroment is very quiet. There is shuttle bus for people to transfer around different hotel and near those attractive places.",General
3,Spacious,"Spacious and clean",Room
4,"
                                        ","My family stayed for 2 nights.
Pros:
1) Big room and bathroom with additional sofa which is comfortable enough to sleep in
2) Nice view from the balcony
3) Quiet surroundings
4) Big swimming pool among greenery
Cons:
1) Location not ideal as you have to take a free shuttle to get to the casino and monorail
2) Shuttle service tend to be crowded with long intervals especially during peak hours
3) My kid was bitten by mosquitoes around the pool area
4) The luggage porter did not turn up after waiting for 20 mins to fetch our bags during checkout",Room
5,"Great for celebrations","Great stay, spacious rooms with balcony view. Swimming pool right below, just need to walk far for food.",Room
6,"Very Spacious Room ","This is the most spacious hotel room that i had stayed. We enjoy the stay very much. Thank alot",Room
7,"nice hotel","the room and the bathroom is spacious, have a good view. the bed is so comfort the kids have a good time in the swimming pool",Room
8,Wonderful,"This is our second time staying at the hotel. The hotel was fantastic, rooms were big, toilet wAs gorgeous, staff at RWS was amazing. Only downside is the Nor so convenient location but good thing theres the shuttle bus.",General
9,"Paid so much for disappointment","Birthday staycation at the ocean suite room. Balcony door faulty once we check in. Wasted 3hrs waiting for them to repair! Hotel should check the room thoroughly before letting guests in. Sofa has yellowish stains all over....:(",Location
10,"Quality of the room","The room is big and cosy.However due to school holiday week, the waiting time for check intime is slow.The waiting time for shuttle bus service is slow too. 
Our family can smell the cigarette especially on the bed atea. Quite distracting by the smell deapite we have requested a non smoking room. 
",Room
11,"Huge room, aging property","Stayed here 2 years ago and it was fantastic. Coming back this time, found the furnishings to be aging and some of the toilet equipment not working as well. It was disappointing mostly due to the excellent experience previously. And for the price, we would expect nothing less. Therefore it was a let down for us this time round. That said, the service staff that came in to fix the toilet was great. ","Facilities & Services"
12,"Spacious and quiet","2nd time staying here.Place well kept, clean and quiet. The shuttle bus is good enough to go around the island.",General
13,"
                                        ","Location is a bit quiet and good for couple. Going to other parts of the resort will required buses. And bus drivers drove very fast, beware especially with small children.",Location
14,"Great for couple in honeymoon etc","im staying hotel with my boyfriend for 2 nights. very nice hotel with helpful and caring staff one of em named Zaffie. he s so kind and caring and helpful we will looking forward to stay when were in in SG because of him","Facilities & Services"
15,"Nice Hotel with great rooms","Hotel rooms are big and spacious. ",Room
16,"
                                        ","Wifi is finally complimentary.One of the features of this hotel that make us return is definitely the spacious restroom area and the bathtub. Besides that, age is showing within the interior and fixtures, e.g the curtain hook came loose on certain parts. It could be due to water saving measures, but the spray type faucet in the restroom sink is a little annoying since it splashes water all over. We tried to swim by the beach villa pools which was pretty unoccupied, however beware of invisible mozzie attacks by the lounge areas!! Definitely left us both with bad swellings! The management should try to fog the surrounding areas to ensure a more relaxing time as we couldnt even lounge longer than 10mins before getting bitten all over! Other than that, checking and out was pretty seamless. ","Facilities & Services"
17,"Great Place for Celebration Staycation","Nice rooms with great view.",General
18,"Thumb up","Well the room is spacious my kid can run around easily. The service by the staff is also excellent. Check in was smooth easy.Defintely will come back again.Thumb up!! Well done. ",Room
19,"Comfort stay ","Comfortable stay ",General
20,"Staycation ","Enjoyed with my girls during our staycation. ",General
21,"Stay experience","Really love how high the ceilings are in the room. Bathroom is huge and clean. Beds are big and soft. Do request for an Adventure Cove/Sea view if your room has a balcony! ",Room
22,"Huge room and toilet with nice bathtub. Pool was nice tho pretty far from hotel. ","Not very accessible to RWS main attraction and food area. Need to waitfor shuttle bus to pick u to get around the island. Pool is gorgeous but not many pool bench available surprisingly.Gym is at the spa but guest need to pay $9 for use of gym which is 24hrs. 
There is a short cut from hotel into Adventure cove so you need not go to the main counter (which is pretty far). 
Our spare key didnt work and after swimming we were stuck outside our room drench for almost 20 mins before staff came up with key. Housekeeper was there but refused to let us in and said we had to wait. ","Facilities & Services"
23,"Oasis on Sentosa ","Ideally located for quiet, you can take the shuttle to any of the busy attractions on Sentosa or walk over if you prefer some exercise.Very spacious room with balcony overlooking forest, which I quite enjoyed in the morning with my coffee.The hotel is adjacent to the highly acclaimed spa.Staff very efficient and helpful.This hotel would be great for a staycation.","Facilities & Services"
24,"Good ","Room facilities were great! Spacious room makes the stay cozy and comfortable. ",Room
25,"lovely room","Big rooms. Quiet location but a little inconvenient from RWS. Short walk of 10mins or shuttle bus can be taken to RWS.",Room
26,"Pleasant ","Good ",General
27,"Great deal","Good stay ",General
28,"Good ","Great ",General
29,"Good stay ","Pleasant visit ",General
30,Comfort,"Good stay",General
31,Comfort,"Comfort stay",General
32,"Great place for short vacation.","Service was excellent. Got upgraded by chance. Was bit of a hassle to travel to the rest of the island without use of buggy. Overall a satisfactory experience.",General
33,"Spacious, clean and comfortable! ","Definitely one of my Favourite hotel for its serenity and comfortable stay. ",General
34,"Pleasant stay","Overall it was a pleasant stay. Just that the hotel is always fully booked and they couldnt give us a free upgrade although I had mentioend it was my husbanda birthday. But it was really nice of the staff to take note of that and send a cake to our room. Hotel room was big n clean. Overall a pleasant stay! ",General
35,"Great getaway place!","It is a great place to bring your love one to have a romantic getaway! Friendly staff that make this place even better! ",General
36,"Very nice stay","Value for money for the size of the room. We had an enjoyable stay.",Room
37,"Awesome Stay! I love the Garden!","The Garden is awesome, but is a little warm outside. Maybe can install a mini ceiling fan. Room and toilet is amazing!","Facilities & Services"
38,"Love the View","We so love the view from the room. Its really a nice heaven. Love the huge bed and the fixtures in the room. The toilet is so welcoming and huge. Had a great anniversary celebration there.",Room
39,"Great Stay....","Nothing to complain, had a great stay at this hotel..",General
40,"Bad experience with this hotel ","Nice villa to stay. If anyone loves quiet moment, this is a good place to come. I had stayed here 3 times. But wont be staying again. This time round experience really bad As the staff will jus come in without notify with their own key. Thats so scary and rude. Luckily I was in the room eating only. If not, will be very scary then. Had already Informed management but all they say is they improve next time only. They should have call or Ring the bell first. When I questioned them why come in, they just say see if need to TOP up anything at 7plus evening when no one requested. Which they can do so in the morning. 

After all this experience really teach me a lesson. Dont think thing for granted just becoz is a 6 star hotel. Maybe 4 star hotel is better than 6 star hotel 
",General
41,"Very Good Hotel","I booked this hotel for my birthday.
I like the spacious, cleanliness and the staff.
I will be back again.","Facilities & Services"
42,Excellent,"Clean and large. Comfortable but a distance from attractions",General
43,"Nice hotel","Nil ",General
44,perfect,"Room are spacious and comfortable ",Room
45,"perfect hotel ","Room is spacious and comfortable....Perfect ",Room
46,Big,"Very nice and clean hotel",General
47,"A bit below of expectation...","The trip will be perfect if below things did not happen:
1.) The attendance of the staff at the swimming pool is a bit poor, the regulation of shuttle service for certain rooms is a bit unreasonable with the price we pay for.
2.) Communication problem, the cable car shall not be wrongly informed included the transportation pass by the counter, eventually is not.
3.) The discounted ticket price is not cheapest compare to purchase online, there are even more cheaper price ticket around.
4.) The room bathtub does not able to accumulate water, wasted such a beautiful bathroom with a malfunction bathtub.
5.) Late check out system is a bit inflexible, due to time given is does not cater any buffer. I been locked out with my bags still in stays in the room after I arrive few minutes late from the check out time. The reception counter unable to re-activate on the old card, took 20 minutes to get a new card done.
6.) Not enough hangers in the closet.
7.) Shuttle bus service is too less frequent.",General
48,"Great room ","Lovely service an awesome room","Facilities & Services"
49,"Pleasant Stay ","Room is spacious and clean,staff were attentive and helpful. ",Room
50,"Friendly Staff! Clean Hotel!!!","Lovely lovely hotel!",General
51,"Lovely hotel ","Loved it there! Had a great time! ",General
52,"Value for money when there is discount","Big and clean room, super comfortable bed.",Room
53,Good,"Nice room... Dolphin @ the hotel.... Nice view","Facilities & Services"
54,"Not value for money","If want to use the Gym room, need to pay extra charges. 
Sharp check out by 11am else the room key cannot use after 11am. ",General
55,"Bad experience ","I was there with my wife and son on a staycation to celebrate our wedding anniversary. On day 1 when we arrived, reception staff was friendly and arranged something for our stay. We went for a swim in the evening but end up trapped in 1 of the shelter beside the swimming pool. There was no shelter to go back to the hotel and there were no staff around the area. I made a call to resort world hotel line and asked if we could have a ride back by hotel buggy and they agreed to send. When the buggy arrived, the hotel staff says that it is for villa guest and drove off. Leaving us trapped at the shelter feeding the mosquitoes there. I was outraged and went to stopped the staff and asked him why not as the reception had agreed to send for the ride. Then he says that since no guest from the beach villa is using the buggy and he is on the way back, he can send us back. Throughout my conversation with the staff, i was standing in the rain. My wife and son trapped in shelter feeding mosquitoes. ",General
56,"Birthday staying ","overall is nice, one thing should be improve is the check-in time delay for 1.5hr. waste time",General
57,"Wedding Proposal","Had my wedding proposal at the Ocean Suite - the room was very exclusive, the hotel staff were very friendly and professional, they also provided special decorations and arrangements. Definitely a wonderful once in a lifetime experience. ","Facilities & Services"
58,"Wife's Birthday","Celebrated my wifes birthday and we wanted a staycation outside of Singapore. The check in was smooth, and they remember my request to prepare something for my wifes birthday.

We got a complementary cake and a bowl of her favourite fruits!",General
59,"Ok ",Ok,General
60,"clean and nice",comfortable,General
61,"nice place","privacy and quiet ",Room
62,"We have to wait long to check in and most of the facilities are not working.","TV remote controller not working, tap is splashing, towels are dirty with long strands of hair found in then, curtain cant be cover fully.","Facilities & Services"
63,"Big ","I have stayed here for several times. I like the nice, bigclean room. We need to take a shuttle to go to the main attrations place, but the shuttle is available every 15 minutes, so its not a big issue.",General
64,Staycay,"Pros: good service, quiet place, spacious room

Cons: faulty remote control, difficulty in closing the door",Room
65,"Nice Hotel","Great staff, location and facility","Facilities & Services"
66,"Halloween USS ","The room has a perfect view of sentosa and harbourfront. The room has a high ceiling which makes the place looks more spacious. Bathroom was huge and overall the place is clean and worth the stay for sure!",Location
67,Room,"Huge and really nice room. ",Room
68,Good!,"Stayed here more than once. Great place to relax",General
69,"Not worth the money","The bathroom does not have good ventilation, there is also no suction fan.TV remote did not work well. There are few hotels in singapore that does not provide complimentary wifi, and this 5-star hotel is one of them! Good thing the hotel is clean and provides free shuttle. ","Facilities & Services"
70,"Good for family","Staff are friendly and helpful, especially the Concierge. However, the air conditioning in room was hardly managed, even though I switched it off, I found the room temperature was still low.","Facilities & Services"
71,"checked in very slow","checked in was slow was there for anniversary. rather disappointed.",General
72,"Pleasant and super big room.","Big room big big big big big big big.",Room
73,"Nice location","Nice location especially if planning to go to USS or other resorts world attraction",Location
74,"Nice place","Perfect for holiday",General
75,"Nice and cosy room","The service is good and the room is spacious.
Only flaw is that we need to take shuttle service (at 15 mins interval) to the entertainment area.",Room
76,"awesome stay ","Room is spacious and clean, kids are very happy . Staff is awesome! Zalkie ( not sure if I spell the name wrongly, the one at the counter ) he is very helpful and understanding. Very prompt in our request. Thumbs up for his service!Will definitely come back again. Well done Equaris! ",Room
77,"Great Experience for Family Holiday","We are very happysatidfied with the services given by Equarius hotel and its staff, especially Front Office. Very helpful, friendly and efficient.The location is nice, especially if u like the quiter area in Sentosa. The room is spacious and well cleaned. One of our best holiday ever. ",Location
78,"Nice staycation within Singapore for Family","They provided a baby cot for our little boy. Location is quiet as what we needed. No free Wifi.",Location
79,"good serivce ","nice place",General
80,"Absolutely fantastic ","Staff were attentive and helpful. Room was big and spacious.Very good for couple getaway and even big enough for family! Best hotel in rws! ",Room
81,Na,Na,General
82,"Quiet and relaxed stay","Great hotel, quiet, suitable for family with young children, huge fantastic pool.Direct access to Adventure Cove.
Would be even better if Wifi is free!","Facilities & Services"
83,Excellent,"Very nice resort",General
84,"Appalling service attitude ","Decided to make a booking at this hotel for an anniversary getaway which should have been a pleasant experience had it not been marred by egregious error made by the front desk when I checked out. An breakfast charged was erroneously posted on my room charges and despite having clarified that it was a mistake and having repeatedly assured that my card would not be debited, I still received a displeasing surprise in the form of an unauthorised charge made without prior consent or knowledge. Subsequent attempts at communicating and resolving this issue amicably was hampered by an appalling lack of responsibility and lackadaisical demeanour from their customer service team. It was only after making a direct complaint to RWS resort wide feedback team, did I finally receive a call back (more than 24hrs later) from one of their duty managers who promptly proceeded to resolve this matter with commendable haste. Nonetheless, barring this incident, the overall experience was still outstanding. I do hope that the management team at hotel equarius will investigate and ensure that a repeat of such an unpleasant experience be prevented in the future. Cheers ",General
85,"Long waiting time check in/out and lousy swimming pool",Disappointed,General
86,"Big room with nice view","The room is very big but the bedstead is spoil! ",Room
87,"Staff are friendly","A little bit far from uss",Location
